Model,Macro-F1,Macro-F1_std,Accuracy,Accuracy_std,EOS-Prec,EOS-Prec_std,EOS-Rec,EOS-Rec_std,EOS-F1,EOS-F1_std
v5a: word TF-IDF + SMOTE + RF,0.7543605035194115,0.002668119875783777,0.811214953271028,0.003487996972166292,0.626046238114814,0.009753853501265355,0.6469409404239258,0.008918251720766946,0.6361983017273591,0.0030507020669472804
v6: word+char TF-IDF + SMOTE + RF,0.7672789495567869,0.00474106885503537,0.8283968368080519,0.0016487915084370563,0.6796880618283444,0.004584158129177212,0.619606666799102,0.01970668658209153,0.6480343387870289,0.009121581947727225
v6: word+char TF-IDF + BalancedRF,0.7589881708593726,0.0028656618784148272,0.8097771387491013,0.0027972791457000325,0.613730011990779,0.0073674427152694505,0.6875186237311033,0.015184464754730636,0.6483720351068214,0.004993979163947145
