model,macro_f1,accuracy,eos_f1
Soft Voting (w_tfidf=0.8),0.7731225064695206,0.8350107836089145,0.654627539503386
TF-IDF only (baseline),0.7724600467938296,0.8339324227174695,0.6541916167664671
Concat + SMOTE + RF,0.7602200387077026,0.8285406182602444,0.6322282189668466
Concat + BalancedRF,0.7584151121513063,0.8217109992810927,0.6347569955817378
